"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
NA,5.4,0.24,0.27,24.2,0.092,23,398,0.98527,5.02,0.64,12.3,-1,6,0
NA,12.4,0.385,0.79,7.9,1.169,37,68,0.99048,3.37,1.09,16,0,6,2
NA,7.2,1.75,0.17,2.9,0.065,9,76,1.04641,4.61,0.68,8.55,0,8,1
NA,6.2,0.1,1.8,1,0.043,104,89,0.98877,3.2,2.11,12.3,-1,8,1
NA,11.4,0.21,0.28,1.2,0.038,70,53,1.02899,2.54,0.98,4.8,0,10,0
NA,17.6,0.04,0.6,1.4,0.535,108,140,0.95028,3.06,0.52,11.4,1,8,4
NA,15.5,0.53,0.76,4.6,1.263,10,17,1.0002,3.07,0.75,8.5,0,12,3
NA,15.9,1.19,1.14,31.9,0.053,115,381,1.03416,2.99,0.31,11.4,1,7,0
NA,11.6,0.32,0.55,8.1,0.076,35,83,1.0002,3.32,2.18,8.8,0,12,0
NA,3.8,0.22,0.31,10.3,0.039,40,129,0.9061,4.72,0.57,10.9,0,7,0
NA,6.8,1.68,0.44,11.2,0.046,183,583,1.00833,3.23,1.64,12.6,0,8,1
NA,9,0.705,0.04,51.4,0.237,15,41,0.99516,3.16,0.7,14.7,1,10,0
NA,24.6,0.03,0.32,1.3,0.035,241,297,0.99232,2.22,0.5,9.8,0,9,2
NA,13,0.21,0.32,26.8,0.047,111,141,0.95918,3.2,0.63,4.2,0,8,0
NA,17.9,0.54,0.26,7.1,0.045,41,169,0.95307,3.17,0.49,13.2,-1,9,0
NA,10,0.2,1.27,30.9,0.05,19,152,0.994,3.19,0.42,13.8,-1,11,2
NA,7.4,0.29,0.5,8.5,0.086,178,647,0.97275,3.45,0.5,10.2,-1,8,1
NA,11.7,1.18,0.48,2.8,0.675,7,24,0.99974,3.96,0.69,5.2,1,13,0
NA,9.7,0.41,0.32,16,0.041,24,113,0.99772,3.44,0.53,9.8,0,7,2
NA,11.6,0.27,0.39,6.4,0.046,180,166,0.994,3.3,2.18,9.9,1,5,3
NA,7.3,0.19,0.49,7.9,0.38,36,343,0.9998,3.42,0.36,13.3,-2,8,2
NA,6.7,0.34,0.31,16.4,0.042,20,181,0.99834,3.11,0.6,9.1,0,7,0
NA,4.1,0.54,0.37,2.2,0.088,9,427,0.99725,3.98,2.06,11.4,2,8,0
NA,6.5,1.53,0.84,28.5,0.047,54,184,0.9461,3.17,0.58,9.2,-1,7,1
NA,11.8,0.27,0.46,11.75,0.316,61,794,1.01959,2.2,0.07,5.4,0,7,2
NA,6.1,0.16,0.78,1.4,0.041,10,67,0.94608,2.5,0.41,9.4,2,7,2
NA,8.3,0.26,1.93,3.9,0.042,41,479,0.99869,3.1,1.66,12,-1,9,2
