"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
3,3.2,1.16,0.34,54.2,0.054,44.5,268,0.9928,3.33,0.59,9.9,"0",8,"2"
3,4.5,0.16,0.45,26.1,0.051,15,192,1.02792,3.38,0.7,12.066666667,"-1",7,"3"
5,7.1,2.64,0.37,14.8,0.037,214,142,0.99518,3.12,0.48,22,"-1",8,"3"
3,5.7,0.385,0.04,18.8,0.058,22,115,0.9964,2.24,1.83,6.2,"-1",6,"1"
4,8,0.33,0.54,9.4,0.755,41,108,0.99457,3.12,1.77,13.7,"0",9,"2"
0,11.3,0.32,0.59,2.2,0.556,102,15,0.9994,3.2,1.29,15.4,"0",11,"0"
0,7.7,0.29,0.28,21.5,0.06,287,156,0.99572,3.49,1.21,10.3,"0",8,"0"
4,6.5,0.26,0.34,1.4,0.04,523,551,1.03236,3.2,0.34,11.6,"1",7,"3"
3,14.8,0.27,1.05,11.25,0.051,113,194,0.9962,4.93,0.26,15,"0",6,"0"
6,5.5,0.43,0.39,1.8,0.044,62,180,0.94724,3.09,0.75,12.6,"0",8,"4"
0,14.5,0.52,0.15,2.4,0.222,551,65,0.9934,4.31,0.56,13.1,"1",5,"1"
4,9,0.22,0.49,10.4,0.04,52,195,1.05918,3.01,0.37,10.2,"0",10,"2"
3,6,0.33,0.38,3,0.518,5,378,0.96643,3.55,0.56,3.9,"1",7,"2"
7,14.9,0.32,0.34,1.3,0.042,20,132,0.95523,2.93,2.16,12,"2",8,"3"
4,21.8,0.51,1.83,2.9,0.127,33,45,0.9974,6.02,2.23,12.1,"0",9,"0"
0,5.7,0.5,0.93,6.1,0.071,234,254,0.9978,3.35,0.64,6.8,"0",8,"0"
0,7.9,0.6,0.06,50.4,0.069,15,339,0.9964,3.3,0.46,3.9,"1",9,"0"
4,8.8,0.22,2.95,32,0.541,161,140,0.99672,3.61,0.82,10,"0",8,"3"
5,10,0.23,0.27,14.1,0.033,134.5,229,0.9988,3.14,0.88,11,"1",11,"2"
4,6.8,0.475,0.23,16.7,0.047,61,508,0.99403,3.23,0.35,18.3,"-1",8,"2"
3,5.8,0.76,0.33,1.5,0.202,87,133,0.9885,3.07,0.56,11.4,"-1",6,"1"
2,6.5,0.24,0.24,8.1,0.084,15,60,1.00916,3.19,0.67,9.8,"-1",7,"1"
3,7.1,0.97,0.25,11.2,0.135,32,180,1.00278,3.14,0.42,9.5,"0",8,"1"
4,4,0.35,0.67,4.2,0.333,47,150,0.98345,3.19,1.7,6.2,"1",8,"0"
4,11.3,0.17,0.34,15.6,0.044,330,139,0.99752,3.06,3.83,9.1,"0",7,"2"
0,2.7,0.38,0.49,3.4,0.174,28,72,0.99519,3.18,0.4,15.2,"-1",7,"0"
